dersKodu,dersIsmi,sinavTipi,konu,pdfId,pdfLink,videoId,playlistId,time,videoLink
DIN,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ,TYT/AYT,İNANÇLA İLGİLİ MESELELER,y1etond3i33.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/y1etond3i33.pdf,mkCI9vwWb6M,,,https://www.youtube.com/embed/mkCI9vwWb6M
DIN,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ,TYT/AYT,YAHUDİLİK VE HRİSTİYANLIK,itpsrpczr3q.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/itpsrpczr3q.pdf,w3OGqBUtm_c,,,https://www.youtube.com/embed/w3OGqBUtm_c
DIN,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ,TYT/AYT,KUR'AN'DA BAZI KAVRAMLAR,knrx2znav4a.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/knrx2znav4a.pdf,KeByPqJgGX8,,,https://www.youtube.com/embed/KeByPqJgGX8
FEL,FELSEFE,TYT/AYT,FELSEFEYİ TANIMA-DÜŞÜNME VE AKIL YÜRÜTMENİN TEMEL KAVRAMLARI,hlfp2e0y1zy.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/hlfp2e0y1zy.pdf,zaXV6PmV_aM,,,https://www.youtube.com/embed/zaXV6PmV_aM
FEL,FELSEFE,TYT/AYT,VARLIK FELSEFESİ VE BİLİM FELSEFESİNİN KONUSU VE PROBLEMLERİ,nf0hvu1zvnw.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/nf0hvu1zvnw.pdf,l7Z_wBumT6c,,,https://www.youtube.com/embed/l7Z_wBumT6c
FEL,FELSEFE,TYT/AYT,BİLGİ FELSEFESİNİN KONUSU VE PROBLEMLERİ,1n1tg550gh0.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/1n1tg550gh0.pdf,GqabRQvEJaQ,,,https://www.youtube.com/embed/GqabRQvEJaQ
FEL,FELSEFE,TYT/AYT,AHLAK FELSEFESİNİN KONUSU VE PROBLEMLERİ,2gvw0xrjyfj.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/2gvw0xrjyfj.pdf,3C_6wQ-sdSY,,,https://www.youtube.com/embed/3C_6wQ-sdSY
FEL,FELSEFE,TYT/AYT,"SİYASET, SANAT VE DİN FELSEFESİNİN KONUSU VE PROBLEMLERİ",2u43eg1qeqm.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/2u43eg1qeqm.pdf,LaxGnHI-LEg,,,https://www.youtube.com/embed/LaxGnHI-LEg
FEL,FELSEFE,TYT/AYT,MS 2-15. YY FELSEFESİ VE 15-17. YY FELSEFESİNİN GENEL ÖZELLİKLERİ,1it1pxmuk4k.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/1it1pxmuk4k.pdf,DRntmN51egE,,,https://www.youtube.com/embed/DRntmN51egE
FEL,FELSEFE,TYT/AYT,18.-19.YY FELSEFESİNİN TEMEL ÖZELLİKLERİ VE FİLOZOFLARIN GÖRÜŞLERİ,ewyh5jp3umt.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/ewyh5jp3umt.pdf,Z1oOj0uJl-0,,,https://www.youtube.com/embed/Z1oOj0uJl-0
FEL,FELSEFE,TYT/AYT,20.YY FELSEFESİNİN TEMEL ÖZELLİKLERİ VE FİLOZOFLARIN GÖRÜŞLERİ,ryg4kibf0ge.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/ryg4kibf0ge.pdf,Bg6XDHVEK84,,,https://www.youtube.com/embed/Bg6XDHVEK84
FIZ,FİZİK,TYT,ELEKTRİK AKIMI,1le5amkjypo.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/1le5amkjypo.pdf,_OsEd4p_9Wg,,,https://www.youtube.com/embed/_OsEd4p_9Wg
FIZ,FİZİK,TYT,GÖLGE-DÜZLEM AYNA,cqpa452hpfi.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/cqpa452hpfi.pdf,L189Pb4Vtoc,,,https://www.youtube.com/embed/L189Pb4Vtoc
FIZ,FİZİK,TYT,KÜRESEL AYNALAR,snja1muy1bo.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/snja1muy1bo.pdf,CPaK-NnFhAE,,,https://www.youtube.com/embed/CPaK-NnFhAE
FIZ,FİZİK,TYT,KIRILMA-MERCEKLER,g2atfvg1cmz.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/g2atfvg1cmz.pdf,VlesAQ6ayS4,,,https://www.youtube.com/embed/VlesAQ6ayS4
FIZ,FİZİK,TYT,ISI-SICAKLIK,d5foc1ky3y3.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/d5foc1ky3y3.pdf,0MzrDhOQhjE,,,https://www.youtube.com/embed/0MzrDhOQhjE
FIZ,FİZİK,TYT,BASINÇ,hmgfeantecc.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/hmgfeantecc.pdf,yL7a0C4N2ek,,,https://www.youtube.com/embed/yL7a0C4N2ek
FIZ,FİZİK,TYT,KALDIRMA KUVVETİ,edfk4advfct.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/edfk4advfct.pdf,JbrlGZq1YzQ,,,https://www.youtube.com/embed/JbrlGZq1YzQ
FIZ,FİZİK,AYT,ELEKTROMANYETİK İNDÜKLEME,4uidxbb5qhq.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/4uidxbb5qhq.pdf,5lN_h_vSpZo,,,https://www.youtube.com/embed/5lN_h_vSpZo
KIM,KİMYA,TYT/AYT,ATOM VE PERİYODİK SİSTEM,wpbocdrbtne.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/wpbocdrbtne.pdf,1mvB2aKyHbg,,,https://www.youtube.com/embed/1mvB2aKyHbg
KIM,KİMYA,TYT/AYT,GAZLAR,tygpofbnxb2.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/tygpofbnxb2.pdf,DP5c1LkvuP4,,,https://www.youtube.com/embed/DP5c1LkvuP4
KIM,KİMYA,TYT/AYT,SIVI ÇÖZELTİLER VE ÇÖZÜNÜRLÜK,j2nak3tsnoa.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/j2nak3tsnoa.pdf,wd8RpWjDD80,,,https://www.youtube.com/embed/wd8RpWjDD80
KIM,KİMYA,TYT/AYT,KİMYASAL TEPKİMELERDE ENERJİ VE KİMYASAL TEPKİMELERDE HIZ,fer2gsvs3hr.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/fer2gsvs3hr.pdf,Ic4wn8wDFbA,,,https://www.youtube.com/embed/Ic4wn8wDFbA
